BSRT10013,车之翼滁州中都大道店,安徽省,滁州市,南谯区,中都大道路灯管理处对面加油站旁,18055019661,美孚 5W-40 4L/美孚 5W-30 4L/壳牌 5W-40 4L/壳牌 5W-30 4L,12,
BSRT06795,车之翼安庆凌北西路店,安徽省,安庆市,宜秀区,菱北西路厦华花苑1号楼移动大厦旁,18955698088,美孚 5W-40 4L/嘉实多 5W-40 4L,,
BSRT12127,车之翼广德县路路通轮胎销售部,安徽省,宣城市,广德县,桃州镇蓝庭国际小区东大门车之翼,13865369088,嘉实多 HX5 10W-40 4L/壳牌 HX5 10W-40 4L,,
BSRT12973,车之翼合肥太湖东路店,安徽省,合肥市,包河区,金寨路与太湖路交叉口往东400米车之翼,13956987739,壳牌 HX5 10W-40 4L,,
BSRT09439,车之翼北京富力又一城店,北京市,北京市,朝阳区,豆各庄乡黄厂南里1号院4号楼北60米,13601335122,美孚 5W-40 4L/嘉实多 5W-40 4L,78,
BSRT07381,车之翼北京粤海北四环店,北京市,北京市,朝阳区,北四环太阳宫乡十字口村甲39,13911168008,美孚 5W-40 4L/壳牌 5W-40 4L/嘉实多 5W-40 4L,,
BSRT10203,车之翼北京成寿寺路店,北京市,北京市,朝阳区,成寿寺路141号中石油加油站旁,15810858617,壳牌 非凡喜力 HX7 5W-40 4L,,
BSRT07294,车之翼北京亦庄店,北京市,北京市,大兴区,经济技术开发区同济北路26号,15810858596,壳牌 非凡喜力 HX7 5W-40 4L,,
BSRT07295,车之翼北京石榴园店,北京市,北京市,丰台区,石榴园南里7号楼赵公口路往南,13501109538,壳牌 非凡喜力 HX7 5W-40 4L,,
BSRT13488,车之翼北京谷丰路店,北京市,北京市,平谷区,谷丰路7号,13701056924,壳牌 5W-40/4 4L/嘉实多 5W-40/4 4L,,
BSRT01718,车之翼北京空港店,北京市,北京市,顺义区,空港工业区B区裕民大街2号,13911447188,壳牌 5W-40/4 4L/嘉实多 5W-40/4 4L,,
BSRT01727,车之翼北京平谷岳各庄店,北京市,北京市,平谷区,平谷镇岳各庄村双河路1排1号,13701056924,壳牌 5W-40/4 4L/嘉实多 5W-40/4 4L,,
BSRT10575,车之翼北京盛华店,北京市,北京市,朝阳区,盛华汽配城10区11-14号,13910052685,嘉实多 5W-40 4L/壳牌 5W-40 4L,,
BSRT07431,车之翼晟轩轮胎店,北京市,北京市,通州区,梨园镇大马庄村,13910797204,嘉实多 5W-40 4L/壳牌 5W-40 4L,,
BSRT07432,车之翼北京亨通翔商贸有限公司,北京市,北京市,朝阳区,五方天雅汽配城北区东8-73、75、79,13051203362,嘉实多 5W-40 4L/壳牌 5W-40 4L,,
BSRT22180,车之翼宝盛里店,北京市,北京市,海淀区,宝盛里芳清园8号楼1层商业03/04,010-82437873,嘉实多  5W-40 4L,,
BSRT10279,车之翼富泉花园店,北京市,北京市,昌平区,科技园区富康路甲18号,18610117611,嘉实多  5W-40 4L,,
BSRT06107,车之翼福州长乐路店,福建省,福州市,晋安区,长乐北路60号紫金苑,13599054999,壳牌 5W-40 x7 4L,30,
BSRT05988,车之翼福清宏路店,福建省,福州市,福清市,宏路镇耀华工业区义明综合楼24-34号,15980551711,壳牌 5W-40 x7 4L,,
BSRT05989,车之翼三明新市北路店,福建省,三明市,梅列区,乾龙新村99幢8-15店面,13906087888,嘉实多 磁护 5W-40 4L,,
BSRT05992,车之翼厦门体育路店,福建省,厦门市,思明区,厦门体育路40号-2商场,13063070963,美孚速霸2000 5W-40 SN 4L,,
BSRT09062,车之翼厦门枋湖西路店,福建省,厦门市,湖里区,枋湖西路57号之二,18030230888,美孚速霸2000 5W-40 SN 4L,,
BSRT06108,车之翼南安市水头镇荣晖轮胎商行,福建省,泉州市,南安市,水头镇福山祥联大厦3-4号,13599200058,壳牌 5W-40 x7 4L,,
BSRT11695,车之翼南安官桥车臣士汽车服务中心,福建省,泉州市,南安市,官桥镇金庄街富甲一方8号楼店面,13906996454,嘉实多 5W-40 4L,,
BSRT05990,车之翼晋江和平中路店,福建省,泉州市,晋江市,和平中路晋江公安局旁,18250256777,金美孚 0W-40 SN级 4L,,
BSRT05993,车之翼晋江龙湖路店,福建省,泉州市,晋江市,龙湖镇石龟工业区耀狮小客车公司旁,13600792269,嘉实多 磁护 5W-40 4L,,
BSRT20687,车之翼泉州西环路店,福建省,泉州市,鲤城区,西环路南9区5幢1、2、3、4号,18259560088,嘉实多 磁护 5W-40 4L,,
BSRT05044,车之翼广州番禺店,广东省,广州市,番禺区,大石镇上漖村迎宾路段华南商业城,18126789614,金美孚 0W-40 SN级 4L,91,
BSRT05055,车之翼广州芳村大道西店,广东省,广州市,荔湾区,芳村大道西275号桥东大厦首层（车之翼）,13711158892,金美孚 0W-40 SN级 4L,,
BSRT05062,车之翼广州中山大道店,广东省,广州市,天河区,中山大道中993号爱德加油站旁,13802910637,金美孚 0W-40 SN级 4L,,
BSRT20686,车之翼广州黄埔东路店,广东省,广州市,黄埔区,黄埔东路884号105-108,13802910637,金美孚 0W-40 SN级 4L,,
BSRT05435,车之翼广州市花都区新华车港轮胎店,广东省,广州市,花都区,新华街曙光路78号1号楼16号铺,13822259853,嘉实多 5W-40 4L,,
BSRT11380,车之翼广州市番禺区市桥驰君轮胎店,广东省,广州市,番禺区,市桥富华东路301-305,15820259834,壳牌 5W-40 4L,,
BSRT05045,车之翼东莞东城店,广东省,东莞市,东城区,莞龙路东城上桥红绿灯路口,13602311118,嘉实多 10W-40 4L/嘉实多 5W-30 4L/壳牌 10W-40 4L/壳牌 5W-30 4L,,
BSRT05064,车之翼东莞虎门店,广东省,东莞市,虎门镇,北栅高速路口5号地铺,13809636611,嘉实多 磁护 5W-40 4L,,
BSRT22391,车之翼东莞大朗店,广东省,东莞市,大朗镇,大井头村,13560102008,壳牌 10W-40 4L/壳牌 5W-30 4L,,
BSRT08962,车之翼佛山桂城石肯店,广东省,佛山市,南海区,桂城石霍东工业区二号2路,13809815567,嘉实多 磁护 5W-40 4L,,
BSRT09189,车之翼佛山南海桂平路店,广东省,佛山市,南海区,桂平美食城5座首层,13802469789,嘉实多 磁护 5W-40 4L,,
BSRT05053,车之翼佛山南海粤丰店,广东省,佛山市,南海区,桂丹路乐安段粤丰汽配城A2栋101-107,15916588570,嘉实多 磁护 5W-40 4L,,
BSRT21010,车之翼佛山大良店,广东省,佛山市,顺德区,大良升平鉴海南路2号都汇豪庭5、6、7号铺,18603099233,嘉实多 磁护 5W-40 4L,,
BSRT05138,车之翼佛山市南海区廉和轮胎维修店,广东省,佛山市,南海区,平洲石龙路南路138号（即平洲高级中学对面）,13528988913,嘉实多 磁护 5W-40 4L,,
BSRT05430,车之翼佛山快捷店,广东省,佛山市,禅城区,郊边二路佛山车世界汽配东区商铺,13702918260,嘉实多 磁护 5W-40 4L,,
BSRT22935,车之翼佛山广海大道店,广东省,佛山市,南海区,小塘狮岭广海大道东6号6座,18025980770,嘉实多 磁护 5W-40 4L,,
BSRT05047,车之翼惠州下埔店,广东省,惠州市,惠城区,下埔滨江花园A座堤下路101-102,18902621239,嘉实多 10W-40 4L/嘉实多 5W-30 4L/壳牌 10W-40 4L/壳牌 5W-30 4L,,
BSRT12680,车之翼惠州淡水店,广东省,惠州市,惠阳区,淡水上塘石坑仔信和苑二期6幢101、201商场,13560102008,壳牌 10W-40 4L/壳牌 5W-30 4L,,
BSRT05058,车之翼深圳创新路店,广东省,深圳市,宝安区,沙井街道办创新路金乐大厦（自来水公司旁）,0755-27228887,嘉实多 磁护 5W-40 4L,,
BSRT20198,车之翼中山市坦洲镇利昌汽车用品中心店,广东省,中山市,坦洲镇,沙贝路33号沙角环第1栋9-12卡,13926900200,金美孚 0W-40 SN级 4L,,
BSRT05046,车之翼珠海梅华西路店,广东省,珠海市,香洲区,梅华西路172号,13926911066,金美孚 0W-40 SN级 4L,,
BSRT05464,车之翼珠海市洲顺驰轮胎行,广东省,珠海市,香洲区,翠前北路175（悦安雅苑东面）,15811692111,壳牌 5W-40 4L,,
BSRT07079,车之翼柳州柳石路店,广西壮族自治区,柳州市,柳北区,柳石路368号,18607726286,壳牌 HX7 5W-40 4L,15,
BSRT08291,车之翼北海云南路店,广西壮族自治区,柳州市,银海区,云南路毛纺厂旁34号,18807792212,壳牌蓝喜力 5W-40 x7 4L,,
BSRT22940,车之翼柳州潭中路店,广西壮族自治区,柳州市,城中区,潭中东路16号1、 2、 3号门面,18677200898,壳牌 HX7 5W-40 4L,,
BSRT23266,车之翼平果大学路店,广西壮族自治区,百色市,平果县,马头镇大学路东方国际11号楼1号商铺,13737651250,壳牌蓝喜力 5W-40 x7 4L,,
,车之翼南宁望州路店,广西壮族自治区,南宁市,兴宁区,望州路277-44号,13087911432,壳牌 5W-40 4L,,
BSRT04273,车之翼安顺贵黄路店,贵州省,安顺市,西秀区,贵黄西南路20号,13985301868,壳牌 金嘉护,3,
BSRT06377,车之翼海口儋州中兴大道店,海南省,儋州市,那大镇,中兴大道东段 电信大厦斜对面国利汽修,13907653250,嘉实多 磁护 5W-40 4L,30,
BSRT09474,车之翼琼海豪华路店,海南省,琼海市,嘉积镇,豪华路355号,15203013626,壳牌 X6：10W-40 4L,,
BSRT08930,车之翼乐东抱由感恩路店,海南省,省直辖县级行政区划,乐东黎族自治县,抱由镇感恩路39号,13876530888,力魔 5W-40 4L,,
BSRT08678,车之翼海口金垦路店,海南省,海口市,龙华区,金垦路33号成信世代雅居（北区）39-42号商铺,18608988512,嘉实多 磁护 5W-40 4L,,
BSRT06375,车之翼海口南海大道店,海南省,海口市,秀英区,南海大道141号,13518071118,美孚金装1号 0W-40 4L,,
BSRT06376,车之翼海口龙昆南路店,海南省,海口市,琼山区,龙昆南路103号,18889262769,博世 5W-30 4L,,
BSRT22181,车之翼海口海府路店,海南省,海口市,美兰区,海府一横路45号骏发名宇一楼,18689831827,嘉实多 磁护 5W-40 4L,,
BSRT06374,车之翼三亚春园路店,海南省,三亚市,河西区,春园一巷20号,18689559728,博世机油 X6:5W-30 4L,,
BSRT06378,车之翼三亚月川路店,海南省,三亚市,河东区,一环路294号,13876664482,博世机油 X6:5W-30 4L,,
BSRT12804,车之翼三亚荔枝沟路店,海南省,三亚市,吉阳镇,荔枝沟二手车交易市场右侧,13876127709,博世机油 X6:5W-30 4L,,
BSRT09105,车之翼保定长城北大街店,河北省,保定市,北市区,长城北大街2889,15690255897,壳牌 非凡喜力HX7 5W-40 4L,51,
BSRT00529,车之翼保定阳光大街店,河北省,保定市,北市区,阳光北大街916号,15690255897,壳牌 非凡喜力HX7 5W-40 4L,,
BSRT00530,车之翼保定天威西路店,河北省,保定市,新市区,天威西路1239号,15690255897,壳牌 非凡喜力HX7 5W-40 4L,,
BSRT12304,车之翼保定东风路店,河北省,保定市,北市区,东风路731号,15690255897,壳牌 非凡喜力HX7 5W-40 4L,,
BSRT12305,车之翼保定高碑店京广大街店,河北省,保定市,高碑店市,开发区112线转盘东50米（安泰路车管所西侧）,15690255897,壳牌 非凡喜力HX7 5W-40 4L,,
BSRT13298,车之翼保定乐凯大街店,河北省,保定市,新市区,乐凯北大街1865号,15690255897,壳牌 非凡喜力HX7 5W-40 4L,,
BSRT01007,车之翼沧州万达店,河北省,沧州市,运河区,清池大道40号(南胡办事处一楼),13930718556,嘉实多 磁护 5W-40 4L,,
BSRT01008,车之翼沧州北环中路店,河北省,沧州市,运河区,永济中路（水晶宫饭店东邻）,13930718556,嘉实多 磁护 5W-40 4L,,
BSRT01031,车之翼沧州青县南环路店,河北省,沧州市,青县,环东南角红绿灯财政局对面,18931748001,嘉实多 磁护 5W-40 4L,,
BSRT10857,车之翼邯郸市丛台福润翔贸易有限公司,河北省,邯郸市,丛台区,南中华北大街439号 南临街一层门市,15833056068,壳牌 非凡喜力HX7 5W-40 4L,,
BSRT00691,车之翼秦皇岛北环路店,河北省,秦皇岛市,海港区,市北环路470号,18733540215,嘉实多 磁护 5W-40 4L,,
BSRT09943,车之翼秦皇岛海阳店,河北省,秦皇岛市,海港区,海阳路272-4号,13633339678,嘉实多 磁护 5W-40 4L,,
BSRT13028,车之翼华北汽贸公司石家庄进口汽车配件供应站,河北省,石家庄市,裕华区,胜利北街298号,15032065688,壳牌 非凡喜力HX7 5W-40 4L,,
BSRT09858,车之翼唐山车站路店,河北省,唐山市,路南区,车站路汽车站,18633506996,嘉实多 磁护 5W-40 4L,,
BSRT13092,车之翼唐山丰润区滨河路店,河北省,唐山市,丰润区,曹雪芹西道436号,18617897879,嘉实多 磁护 5W-40 4L,,
BSRT01068,车之翼邢台沙河机场路店,河北省,邢台市,沙河市,京广路北道口北行600米路西,13930902268,嘉实多 磁护 5W-40 4L,,
BSRT10595,车之翼张家口纬三路店,河北省,张家口市,高新区,纬三路世纪豪园19号楼16号底商,15028366367,壳牌 非凡喜力HX7 5W-40 4L,,
BSRT06972,车之翼洛阳大杨树店,河南省,洛阳市,洛龙区,安乐大杨树豫西汽配市场1024号车之翼,0379-65253991,壳牌 黄壳喜力 HX5 10W-40 4L,21,
BSRT22933,车之翼洛阳新街店,河南省,洛阳市,老城区,九都路与新街交叉口西北角新天地车之翼,0379-61280366,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT11632,车之翼洛阳车之翼宜人路店,河南省,洛阳市,洛龙区,宜人路与望春门街交叉口车之翼,0379-62278996,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT03343,车之翼濮阳车之宝汽车服务有限公司,河南省,濮阳市,华龙区,京开大道与建设路向南200米路西,13303932850,美孚速霸1000  10W-40 4L,,
BSRT12031,车之翼新乡新中大道店,河南省,新乡市,牧野区,新中大道新视小区15号楼1层,13837319880,美孚速霸1000  10W-40 4L,,
BSRT03336,车之翼郑州国基路店,河南省,郑州市,金水区,国基路与花园路交叉口,18638948088,嘉实多 金嘉护 10W-40 4L,,
BSRT11337,车之翼周口百佳汽车修理有限公司,河南省,周口市,川汇区,周商路与莲花路交叉口向西1000米路北,13938081356,美孚速霸1000  10W-40 4L,,
BSRT20064,车之翼大庆建设路店,黑龙江省,大庆市,萨尔图区,东风新村庆龙小区B2商场一层建设路89号,15776150341,嘉实多 5W-40 4L,21,
BSRT01557,车之翼哈尔滨利民店,黑龙江省,哈尔滨市,呼兰区,利民开发区远东大街美澳花园7、8号,15304519052,壳牌 5W-40 4L,,
BSRT08974,车之翼哈尔滨中山路店,黑龙江省,哈尔滨市,南岗区,民生路副1号,15304519066,壳牌 5W-40 4L,,
BSRT21717,车之翼五常荣耀店,黑龙江省,哈尔滨市,五常市,荣耀家园2期7、8、9号商服,13204606929,壳牌 5W-40 4L,,
BSRT09053,车之翼黑龙江依兰店,黑龙江省,哈尔滨市,依兰县,客运站对过,13836065487,壳牌 5W-40 4L,,
BSRT13706,车之翼佳木斯国贸店,黑龙江省,佳木斯市,市向阳,西区胜利路与新发街交汇处,13803650003,嘉实多 磁护  5W-40 4L,,
BSRT01708,车之翼伊春力通源源商贸,黑龙江省,伊春市,伊春区,迎宾路3号,18601129168,嘉实多 磁护  5W-40 4L,,
BSRT21009,车之翼大冶金湖大道店,湖北省,黄石市,大冶市,金湖大道（桥北小区）22号,18086169588,嘉实多 金嘉护 10W-40 4L,42,
BSRT08899,车之翼黄石杭州西路店,湖北省,黄石市,黄石港区,湖滨大道1459号昌海汽车美容,13597635288,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT10673,车之翼黄石湖滨大道店,湖北省,黄石市,黄石港区,湖滨大道1459-12号,13971786255,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT12622,车之翼江夏德宏嘉园店,湖北省,武汉市,汉阳区,百威路黄金口汽配城A2栋2号2楼,18927825888,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT05691,车之翼武汉友谊店,湖北省,武汉市,洪山区,友谊大道199号嘉和阳光水岸,18907130521,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT05692,车之翼武汉汉阳荣辉店,湖北省,武汉市,汉阳区,绿色磬芳草庭二栋104——105门面,15927278635,嘉实多 金嘉护 10W-40 4L,,
BSRT05693,车之翼荆州红星路店,湖北省,武汉市,汉阳区,百威路黄金口汽配城A2栋2号2楼,18927825888,嘉实多 金嘉护 10W-40 4L,,
BSRT20200,车之翼洪湖州陵大道店,湖北省,荆州市,洪湖市,州陵大道107号阳光年华底商,13886609859,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT03585,车之翼十堰金友店,湖北省,十堰市,张湾区,城路109号十堰总装厂附近,13636166675,美孚速霸1000  10W-40 4L,,
BSRT05784,车之翼仙桃仙源大道店,湖北省,仙桃市,仙桃市,仙源大道16号,13385223568,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT03586,车之翼襄樊春园路店,湖北省,襄阳市,襄阳区,春园东路6-1号,13995743890,嘉实多 金嘉护 10W-40 4L,,
BSRT21121,车之翼襄阳中原西路店,湖北省,襄阳市,樊城区,中原西路6号航天花园门面房14#,13797733058,嘉实多 金嘉护 10W-40 4L,,
BSRT13515,车之翼孝感天仙路店,湖北省,孝感市,孝南区,天仙路西湖明珠底商北大门104号,15826827135,美孚速霸1000  10W-40 4L,,
BSRT03608,车之翼宜昌东山大道店,湖北省,宜昌市,伍家岗区,东山大道145号,18995908699,嘉实多 金嘉护 10W-40 4L,,
BSRT10800,车之翼常德山立车之翼德山店,湖南省,常德市,德山经济开发区,莲花池居委会交通银行旁,15973622229,嘉实多 金嘉护 10W-40 4L,36,
BSRT10129,车之翼常德紫缘路店,湖南省,常德市,武陵区,柳叶大道与紫缘路交汇处,15973622229,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT05842,车之翼常德芙蓉店,湖南省,常德市,武陵区,洞庭大道西段福慧公寓135号,15973622229,嘉实多 金嘉护 10W-40 4L,,
BSRT02703,车之翼衡阳蒸湘店,湖南省,衡阳市,蒸湘区,蒸湘南路28号,17773429106,嘉实多 金嘉护 10W-40 4L,,
BSRT02704,车之翼娄底育才店,湖南省,娄底市,娄星区,育才路人文科技学院旁,13378980328,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT09013,车之翼吉首中原汽车美容,湖南省,省直辖县级行政区划,湘西土家族苗族自治州,吉首市沙子坳东花皖5-11号门面,13739029952,嘉实多 金嘉护 10W-40 4L,,
BSRT08359,车之翼益阳龙州路店,湖南省,益阳市,赫山区,龙州路428号北美阳光城对面,15116711702,道达尔-5000 10W-40 4L,,
BSRT23526,车之翼益阳大道店,湖南省,益阳市,赫山区,高新区佳宁娜U栋101-103号佳宁娜U栋101-103号,13973670067,道达尔-5000 10W-40 4L,,
BSRT13627,车之翼岳阳青年东路店,湖南省,岳阳市,岳阳楼区,青年东路1058号,13762009069,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT21122,车之翼长沙车站南路店,湖南省,长沙市,雨花区,车站南路168号,15388969898,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT12199,车之翼长沙万家丽北路店,湖南省,长沙市,开福区,三一大道176号4楼,18670704488,嘉实多 金嘉护 10W-40 4L,,
BSRT02705,车之翼株洲天元店,湖南省,株洲市,天元区,嵩山东路青年乐园8栋一楼门面,13007339898,嘉实多 金嘉护 10W-40 4L,,
BSRT01376,车之翼松原阿穆尔大街店,吉林省,松原市,前郭尔罗斯蒙古族自治县,松江大街1038号,13630362220,嘉实多 磁护 5W-40 4L,15,
BSRT11661,车之翼延吉市朝阳街店,吉林省,延边朝鲜族自治州,延吉市,朝阳街2377号,18604337013,马石油  5W-40 4L,,
BSRT01375,车之翼长春亚泰店,吉林省,长春市,南关区,亚太大街与繁荣路交汇处,18686649999,嘉实多 磁护 5W-40 4L,,
BSRT01368,车之翼长春正阳店,吉林省,长春市,绿园区,正阳街2759号,18242141555,嘉实多 磁护 5W-40 4L,,
BSRT12778,车之翼长春市人民大街西街店,吉林省,长春市,南关区,人民大街西街1218号,13104404888,嘉实多 磁护 5W-40 4L,,
BSRT01883,车之翼常州怀德路店,江苏省,常州市,钟楼区,怀德中路177-3号,18912319123,丰田 5W-30 4L,66,
BSRT10256,车之翼淮安前进东路店,江苏省,淮安市,清浦区,淮阴区嫩江路105号,15950397725,嘉实多 金嘉护 4L,,
BSRT02121,车之翼扬州百祥店,江苏省,扬州市,邗江区,百祥路门面房1号,13338857618,嘉实多 磁护 5W-40 4L,,
BSRT20685,车之翼扬州杨柳青路店,江苏省,扬州市,广陵区,杨柳青路念香苑北门108号,13665210820,嘉实多 磁护 5W-40 4L,,
BSRT02208,车之翼镇江市华康轮胎汽贸有限公司,江苏省,镇江市,京口区,丁卯桥路20号,13815487718,嘉实多 磁护 5W-40 4L/壳牌 磁护 5W-40 4L,,
BSRT02325,车之翼南通金沙店,江苏省,南通市,通州区,高新区银河路8号,13951303211,美孚 5W-40 4L,,
BSRT02326,车之翼南通新区店,江苏省,南通市,崇川区,长江中路127号,15962720207,美孚 5W-40 5L,,
BSRT02327,车之翼南通百花店,江苏省,南通市,崇川区,濠西路28号（车之翼百花店）,13962934441,美孚 5W-40 6L,,
BSRT02328,车之翼启东人民西路店,江苏省,南通市,启东市,人民西路1977号,13906282813,美孚 5W-40 7L,,
BSRT09093,车之翼南通永兴路店,江苏省,南通市,港闸区,永兴路55号,13962911307,美孚 5W-40 8L,,
BSRT11095,车之翼苏州市新希望汽车维修服务有限公司,江苏省,苏州市,吴中区,木渎枫瑞路68号1幢,15995559595,金富力 10W-40 4L,,
BSRT06648,车之翼吴江市震泽镇友谊自行车修理部（吴江市震泽小明汽车服务中心）,江苏省,苏州市,吴江区,震泽镇震新南路1333号,13812739153,壳牌 10W-40 4L,,
BSRT06652,车之翼太仓五洋商城店,江苏省,苏州市,太仓市,城西五羊商城106-108号,13809056303,嘉实多 10W-40 4L/美孚 10W-40 4L,,
BSRT10255,车之翼南京市江宁区润城汽车服务中心,江苏省,南京市,江宁区,湖山路369号,13951995458,嘉实多 磁护 5W-40 4L/美孚 磁护 5W-40 4L,,
BSRT08999,车之翼南京大厂店,江苏省,南京市,大厂区,潘营路41号,13770576839,嘉实多 磁护 5W-40 4L/壳牌 磁护 5W-40 4L,,
BSRT02061,车之翼徐州解放南路店,江苏省,徐州市,泉山区,徐宿路翟山综合楼101室,13905208139,德国福斯 10W-40 4L,,
BSRT02062,车之翼徐州湖北店,江苏省,徐州市,泉山区,二环西路25号,13615133302,嘉实多 磁护 5W-40 4L,,
BSRT11198,车之翼迎宾大道店,江西省,赣州市,章贡区,迎宾大道锦绣星城嘉苑18-5-6号普利司通轮胎店,18679790006,嘉实多 10W-40 4L/金嘉护 10W-40 4L,,
BSRT08386,车之翼吉安吉州大道店,江西省,吉安市,吉州区,韶山西路48号102门面 吉州大道与韶山西路交汇处,13807969773,嘉实多 金嘉护 10W-40 4L,,
BSRT08376,车之翼南昌红谷滩店,江西省,南昌市,红谷滩新区,红谷滩新区翠苑路353号,18720050173,嘉实多 金嘉护 10W-40 4L,,
BSRT12088,车之翼车之港汽车服务中心,江西省,南昌市,东湖区,南京东路381号,15070050323,嘉实多 金嘉护 10W-40 4L,,
BSRT07143,车之翼萍乡安源大道店,江西省,萍乡市,经济开发区,安源中大道群豪小区A栋,18007992799,壳牌 黄壳喜力 HX5 10W-40 4L,,
BSRT08809,车之翼瓦房店市南共济大街店,辽宁省,大连市,瓦房店市,南共济大街店,15942862767,嘉实多 5W-40 4L,135,
BSRT01226,车之翼普兰店中心路,辽宁省,大连市,普兰店市,中心路三段磷肥小区1号楼,15942862767,嘉实多 5W-40 4L,,
BSRT21016,车之翼大连黄海中路店,辽宁省,大连市,中山区,经济技术开发区黄海中路56号,18841187777,嘉实多 5W-40 5L,,
BSRT21788,车之翼大连五五路店,辽宁省,大连市,中山区,五五路9号,13795174517,美孚 5W-40 4L,,
BSRT10188,车之翼大连长兴岛临港工业区长兴岛办事处茂智汽车配件商店,辽宁省,大连市,瓦房店市,长兴岛镇临港工业区金港湖畔小区13-7号,15382163585,嘉实多 5W-40 4L,,
BSRT08574,车之翼大连美星汽车维护有限公司,辽宁省,大连市,甘井子区,逸景园23号共建1-8,18640849859,壳牌  5W-40 4L,,
BSRT22590,车之翼大连金州国防路店,辽宁省,大连市,金州区,光明街道国防路457号,13904268656,嘉实多 5W-40 4L,,
BSRT23264,车之翼大连长春路店,辽宁省,大连市,西岗区,长春路272号,15241181116,嘉实多 5W-40 4L,,
BSRT01241,车之翼大连市沙河口区佳益汽车美容中心,辽宁省,大连市,沙河口区,新生路130号,18641105677,嘉实多 5W-40 4L,,
BSRT12135,车之翼丹东东齐路车之翼,辽宁省,丹东市,振安区,东齐路12-6-4号,13372993999,壳牌  5W-40 4L,,
BSRT07715,车之翼鞍山体育中心店,辽宁省,鞍山市,铁东区,建国南路7-S5号,15841234997,嘉实多 5W-40 4L/美孚 5W-40 4L/壳牌5W-40 4L/巴达尔 5W-40 4L,,
BSRT07716,车之翼鞍山三十五中店,辽宁省,鞍山市,铁东区,园林路325甲S11号,13050053499,嘉实多 5W-40 4L/美孚 5W-40 4L/壳牌5W-40 4L/巴达尔 5W-40 5L,,
BSRT13736,车之翼鞍山市中大汽车用品有限公司（交通路店）,辽宁省,鞍山市,铁西区,交通路7号楼1号,13624929029,嘉实多 5W-40 4L/美孚 5W-40 4L/壳牌5W-40 4L/巴达尔 5W-40 6L,,
BSRT11717,车之翼海城市海州区弘鑫汽车配件商店,辽宁省,鞍山市,海城市,海州区合力路2号 （茂泽园一号楼）,13324129899,嘉实多 5W-40 4L/美孚 5W-40 4L/壳牌5W-40 4L/巴达尔 5W-40 7L,,
BSRT07765,车之翼本溪峪明路店,辽宁省,本溪市,明山区,峪明路61栋3号,13904149809,嘉实多 5W-40 4L,,
BSRT22936,车之翼本溪桓仁福民街店,辽宁省,本溪市,桓仁满族自治县,福民街20组01幢0单元11号,13941497999,嘉实多 5W-40 4L,,
BSRT04880,车之翼辽阳汽车维修服务有限公司,辽宁省,辽阳市,文圣区,南郊街影视家园125－2号,13841988891,嘉实多 5W-40 4L,,
BSRT07912,车之翼阜新中华路店,辽宁省,阜新市,细河区,东风路131-33门,15134061019,嘉实多 5W-40 4L/美孚 5W-40 4L/壳牌5W-40 4L,,
