BSRT10013,车之翼滁州中都大道店,安徽省,滁州市,南谯区,中都大道路灯管理处对面加油站旁,18055019661,美孚 5W-40 4L/美孚 5W-30 4L/壳牌 5W-40 4L/壳牌 5W-30 4L,12,
BSRT23265,车之翼黑山解放路店,辽宁省,锦州市,黑山县,解放南路电业局住宅门市楼,15941644555,嘉实多 5W-40 4L,,
BSRT07910,车之翼盘锦泰山路店,辽宁省,盘锦市,兴隆台区,泰山路油气岗南50米,18504271046,嘉实多 5W-40 4L/美孚 5W-40 4L/壳牌5W-40 4L,,
BSRT07915,车之翼盘锦新广厦店,辽宁省,盘锦市,兴隆台区,兴隆大街新广厦小区南,18504271053,嘉实多 5W-40 4L/美孚 5W-40 4L/壳牌5W-40 4L,,
BSRT07917,车之翼盘锦双兴南路店,辽宁省,盘锦市,兴隆台区,双兴路鹤乡小区东门,18504271060,嘉实多 5W-40 4L/美孚 5W-40 4L/壳牌5W-40 4L,,
BSRT09089,车之翼沈阳宁官店,辽宁省,沈阳市,和平区,八经街72号,15542291646,嘉实多 5W-40 4L,,
BSRT04878,车之翼沈阳八经街店,辽宁省,沈阳市,和平区,八经街九纬路53号,18740050421,嘉实多 5W-40 4L,,
BSRT04903,车之翼沈阳市丰乐二街店,辽宁省,沈阳市,东陵区,文萃路126号,13066669090,嘉实多 5W-40 4L,,
BSRT07732,车之翼铁岭红旗店,辽宁省,铁岭市,银州区,工人街融祥家园3号楼A座,13904901665,嘉实多 5W-40 4L/美孚 5W-40 4L/壳牌5W-40 4L/巴达尔 5W-40 7L,,
BSRT07742,车之翼永正源汽车美饰广场,辽宁省,铁岭市,调兵山市,北山街56号,13464139559,嘉实多 5W-40 4L,,
BSRT08885,车之翼扎旗罕山街店,内蒙古自治区,通辽市,扎鲁特旗鲁北镇,罕山街西段北斗小区1楼,18604759622,嘉实多 5W-40 4L,24,
BSRT01168,车之翼通辽胜利路店,内蒙古自治区,通辽市,科尔沁区,胜利路水务综合楼,13478891069,嘉实多 5W-40 4L,,
BSRT01172,车之翼奈曼草原街店,内蒙古自治区,通辽市,奈曼旗,草原街（客运站后身）,13947552022,嘉实多 5W-40 4L,,
BSRT04504,车之翼阿拉善左旗巴彦浩特安驰达汽车用品服务中心,内蒙古自治区,阿拉善盟,阿拉善左旗巴彦浩特镇,二水源岔路口农行正对面,13947498583,嘉实多 磁护 5W-40 4L,,
BSRT04794,车之翼呼和浩特胜利路店,内蒙古自治区,呼和浩特市,新城区,胜利路东口车之翼,13754017135,嘉实多 磁护 5W-40 4L,,
BSRT10868,车之翼京源港店,内蒙古自治区,呼和浩特市,回民区,京源港国际汽配城东门车之翼,15048353395,嘉实多 磁护 5W-40 4L,,
BSRT04795,车之翼集宁怀远大街店,内蒙古自治区,乌兰察布市,集宁区,怀远路南大街51号1排,13947430457,力魔 5W-40 4L,,
BSRT04797,车之翼锡林浩特杭盖路店,内蒙古自治区,锡林郭勒盟,锡林浩特市,杭盖路考试中心对面,13947947799,嘉实多 磁护 5W-40 4L,,
BSRT04490,车之翼银川解放街店,宁夏回族自治区,银川市,兴庆区,丽景北街38号九号公馆旁,18191150000,摩特机油 红摩 5W-30 4L,12,
BSRT22179,车之翼宁夏平罗店,宁夏回族自治区,石嘴山市,平罗县,南门金三角加油站西侧,13995326988,摩特机油 黄摩 5W-30 4L,,
BSRT11814,车之翼固原北环路店,宁夏回族自治区,固原市,原州区,北环路（交通局楼下）,18152548111,壳牌 HX6 10W-40 4L,,
,车之翼宁夏青铜峡市店,宁夏回族自治区,吴忠市,青铜峡市,小坝建民北街254号,18995350186,摩特机油 红摩 5W-40 4L,,
BSRT10768,车之翼西宁香格里拉店,青海省,西宁市,城中区,香格里拉路怡景苑小区2号楼底商,13909712424,美孚 速霸-2000 4L,3,
BSRT12096,车之翼济南幸福街店,山东省,济南市,槐荫区,幸福街8号山东汽配城C座一层151号,15665830283,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,87,
BSRT09832,车之翼章丘世纪大道店,山东省,济南市,章丘市,唐王山路东段路北,15064119988,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT22594,车之翼济南市清河北路店,山东省,济南市,天桥区,小清河北路188号鑫苑名家22号楼1层113室,13969078886,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT10642,车之翼青岛即墨华山一路店,山东省,青岛市,即墨市,华山一路与长江二路路口,15689937888,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00375,车之翼青岛重庆南路店,山东省,青岛市,四方区,重庆南路209号,13335018699,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00376,车之翼青岛团岛店,山东省,青岛市,市南区,"团岛路6号（消防队对面,车之翼）",13335018699,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00377,车之翼胶州扬州路车之翼,山东省,青岛市,胶州市,扬州西路扬州花园,18663905558,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00385,车之翼山东平度青岛路店,山东省,青岛市,平度市,青岛路169号,13808970928,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT21011,车之翼济宁瑞丰供销路店,山东省,济宁市,任城区,供销路与吴泰闸路路口北300米路西（都市春天东门北）,13964965676,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00381,车之翼日照枣庄路店,山东省,日照市,新市区,枣庄路396号,13806333923,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00394,车之翼日照车之翼秦皇岛路店,山东省,日照市,开发区,秦皇岛路东段电大北门对过,13153336976,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT10709,车之翼泰安市泰山区领航汽配商行,山东省,泰安市,泰山区,灵山街与温泉路交叉路口南路西1-2号营业房（03）,18854891999,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00002,车之翼潍坊宝通街店,山东省,潍坊市,奎文区,宝通街立交桥东路北,13070702121,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT20464,车之翼荣成观海中路店,山东省,威海市,荣成市,观海中路119号,13408916711,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT11055,车之翼文登环山路店,山东省,威海市,文登区,环山路西首环山小学东临,18266316177,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT08499,车之翼山东荣成石岛店,山东省,威海市,荣成市,石岛管理区黄海中路107号（石岛正骨医院南50米路西）,13408916711,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT08772,车之翼山东乳山世纪大道店,山东省,威海市,乳山市,世纪大道笙歌小区附27-1,13869027547,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00341,车之翼威海青岛中路店,山东省,威海市,经济技术开发区,青岛中路175号（汽车市场对面）,15166310123,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT20684,车之翼烟台鸿运机场路店,山东省,烟台市,芝罘区,机场路158号,15006556598,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT11937,车之翼烟台红旗东路店,山东省,烟台市,莱山区,红旗东路东首,13255530977,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT08892,车之翼招远金城路店,山东省,烟台市,招远市,金城路392号,13668650988,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00183,车之翼烟台幸福南路店,山东省,烟台市,芝罘区,幸福南路付11号,18254533192,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT22595,车之翼烟台五指山路店,山东省,烟台市,芝罘区,经济技术开发区区五指山路36号,15098617366,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT22555,车之翼海阳海天路店,山东省,烟台市,海阳市,龙塘村村南,13953518701,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00215,车之翼龙口永盛轮胎,山东省,烟台市,龙口市,龙港开发区和平路时利和酒店对面,13573566989,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00216,车之翼轮胎馆烟台珠江路店,山东省,烟台市,开发区,凤台小区9号楼南网点1号,13625352096,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT10014,车之翼淄博东二路店,山东省,淄博市,张店区,东二路与潘南路交叉口,15615336050,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT00003,车之翼淄博中润大道店,山东省,淄博市,张店区,中心路265号东方汽车城新展厅A-01号,13969322000,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT22938,车之翼淄博金晶大道店,山东省,淄博市,张店区,金晶大道178号-1,13969322000,美孚 5W-40 4L/道达尔 5W-40 4L/嘉实多 5W-40 4L,,
BSRT20204,车之翼大同市万城华府店,山西省,大同市,城区,南三环万城华府小区C区9-11号,15103427989,嘉实多 磁护 5W-40 4L,33,
BSRT20205,车之翼大同市东信国际店,山西省,大同市,城区,东信国际商城南区外围商铺14-18,13934458136,嘉实多 磁护 5W-40 4L,,
BSRT21026,车之翼大同市西京府店,山西省,大同市,御东新区,西京府B区103-106商铺,15103528888,嘉实多 磁护 5W-40 4L,,
BSRT11774,车之翼大同市南郊区鑫诚融盛贸易商行,山西省,大同市,南郊区,环泉小区1楼6号商铺,13835298241,力魔 5W-40 4L,,
BSRT04539,车之翼大同南三环店,山西省,大同市,城区,南三环浩海岗东200米路北-普利司通轮胎店,18734285766,嘉实多 磁护 5W-40 4L,,
BSRT04534,车之翼朔州民福店,山西省,朔州市,朔城区,民福东街百福超市隔壁,13103494558,嘉实多 磁护 5W-40 4L,,
BSRT22182,车之翼朔州豪德店,山西省,朔州市,朔城区,豪德市场三期南街3号,13903492678,嘉实多 磁护 5W-40 4L,,
BSRT12226,车之翼太原太堡街店,山西省,太原市,迎泽区,太堡街70号东5、6号商铺,13903513762,嘉实多 磁护 5W-40 4L,,
BSRT21104,车之翼太原武宿村西街店,山西省,太原市,小店区,武宿村西街37号,13753110406,嘉实多 金嘉护 10W-40 4L,,
BSRT04672,车之翼太原胜利东街店,山西省,太原市,杏花岭区,胜利东街28号,15535177155,嘉实多 磁护 5W-40 4L,,
BSRT04636,车之翼长治西一环路店,山西省,长治市,城区,紫坊北小区商铺西8号,15035595505,壳牌 X7 4L,,
BSRT09956,车之翼西安公园北路店,陕西省,西安市,新城区,公园北路（华清路南200米）,18092009692,美孚 速霸2000 4L,50,
BSRT07535,车之翼西安高新店,陕西省,西安市,高新区,唐兴路6号数码广场1楼1号,13201850060,壳牌 兰壳HX-7 4L,,
BSRT07537,车之翼西安韩森路店,陕西省,西安市,新城区,韩森路西段1号（互助路立交向东200米）,13759959516,壳牌 兰壳HX-7 4L,,
BSRT07540,车之翼西安长安店,陕西省,西安市,长安区,韦曲建材街B3号,13060424567,道达尔 5W-30 4l,,
BSRT13753,车之翼西安市通德汽车维修服务有限公司,陕西省,西安市,浐灞生态区,北辰大道与欧亚大道十字东100米路南2号,15389447040,壳牌 兰壳HX-7 4L,,
BSRT20105,车之翼西安南三环店,陕西省,西安市,雁塔区,高新区丈八二路16号,18066513272,嘉实多 金嘉护 10W-40 4L,,
BSRT23620,车之翼西安创汇路店,陕西省,西安市,高新区,创汇路与发展大道十字向西100米路北,15809288826,壳牌 兰壳HX-7 4L,,
BSRT11562,车之翼经九路店,陕西省,西安市,雁塔区,经九南路西部家具城东门对面车之翼,18629335599,嘉实多 磁护 5W 4L,,
BSRT21110,车之翼渭南华山大街店,陕西省,渭南市,临渭区,西潼路与西一路口,13892508788,嘉实多 磁护 5W 4L,,
BSRT07538,车之翼榆林航宇路店,陕西省,榆林市,榆阳区,航宇路开发区沙河桥头北侧（驰远汽车用品服务中心）,18791200009,嘉实多 磁护 5W-40 4L,,
BSRT02445,车之翼上海共明汽车维修有限公司,上海市,上海市,嘉定区,新城路118号（近嘉戬公路）,13601846582,嘉实多 金嘉护 10W-40 4L,36,
BSRT02448,车之翼车之翼青浦新亚店,上海市,上海市,青浦区,青浦镇淀浦河路209号,15000522469,嘉实多 金嘉护 10W-40 4L,,
BSRT02449,车之翼长宁茅台路店,上海市,上海市,长宁区,茅台路946号,13801942299,雪佛龙 金富力 10W-40 4L,,
BSRT02450,车之翼金山永永店,上海市,上海市,金山区,朱泾镇塘园路541－547号,13524543410,嘉实多 金嘉护 10W-40 4L,,
BSRT22937,车之翼上海宝秀路店,上海市,上海市,闵行区,宝秀路977号,13816393755,嘉实多 金嘉护 10W-40 4L,,
BSRT22939,车之翼上海友谊路店,上海市,上海市,宝山区,友谊路1500号1幢101室,15900677188,嘉实多 金嘉护 10W-40 4L,,
BSRT21764,车之翼保利星座店,四川省,成都市,高新区,盛源街1141号,13982157583,壳牌 黄壳 10W-40 4L/嘉实多 金嘉护 10W-40 4L,110,
BSRT20207,车之翼成都交大店,四川省,成都市,郫县,犀浦镇校园路816号附674-676号,15828828005,壳牌 黄壳 5W-40 4L/嘉实多 金嘉护 5W-40 4L/美孚 速霸1000 4L,,
BSRT13495,车之翼成都双流韩国城店,四川省,成都市,双流县,大件路白家段280号1-113,13982157583,壳牌 5W-40 4L/嘉实多 5W-40 4L/美孚 5W-40 4L,,
BSRT13111,车之翼成都华韵天府店,四川省,成都市,锦江区,月季街135-143号,13982157583,壳牌 黄壳 5W-40 4L/嘉实多 金嘉护 5W-40 4L,,
BSRT03681,车之翼成都红运店,四川省,成都市,武侯区,长益路118号,13880067917,壳牌 10W-40 4L/嘉实多 5W-40 4L,,
BSRT03696,车之翼成都紫荆西路,四川省,成都市,高新区,紫荆西路59号,13982157583,美孚 磁护 10W-40 4L/嘉实多 磁护 10W-40 4L,,
BSRT09274,车之翼成都天府长城店,四川省,成都市,高新区,天环街190－200号,13982157583,壳牌 非凡喜力 0W-40 4L/壳牌 非凡喜力 0W-50 4L,,
BSRT21923,车之翼泸州连江路店,四川省,泸州市,江阳区,连江路二段43号,13568632788,壳牌 X5 10W-40 4L,,
BSRT03693,车之翼巴中裕鑫汽车美容服务部,四川省,巴中市,巴州区,江北二环路紫金花园6-14号（运管处隔壁车之翼）,13540692961,美孚 速霸1000 4L/嘉实多 金嘉护 5W-40 4L,,
BSRT03698,车之翼德阳天山南路店,四川省,德阳市,旌阳区,天山南路二段382-386号（翠湖花园）,13890299116,美孚 金美孚1号 5W-40 4L/嘉实多 金嘉护 5W-40 4L/嘉实多 银佳护 5W-40 4L,,
BSRT08782,车之翼华蓥红星路店,四川省,广安市,华蓥市,红星路四段,15982638222,嘉实多 金嘉护 10W-40,,
BSRT03689,车之翼广元利州东路店,四川省,广元市,利州区,利源小区利州东路二段908号,13508061612,嘉实多 金嘉护 10W-40,,
BSRT03697,车之翼西昌一环路店,四川省,凉山彝族自治州,西昌市,三岔口南路一环路口,13981507699,"美孚 金美孚 10W-50 4L/美孚 银美孚 10W-50 4L/美孚 速霸2000 10W-50 4L/道达尔300 10W-50 4L/道达尔4000 10W-50 4L/嘉实多 10W-50 4L
美孚 金美孚 5W-40 4L/美孚 银美孚 5W-40 4L/美孚 速霸2000 5W-40 4L/道达尔300 5W-40 4L/道达尔4000 5W-40 4L/嘉实多 5W-40 4L",,
BSRT03685,车之翼泸州百子图店,四川省,泸州市,江阳区,百子图文化广场路口车之翼店,13909087922,美孚 速霸1000 5W-40 4L,,
BSRT03744,车之翼成都车之翼叙永县二道桥,四川省,泸州市,叙永县,环城大道新城区,13982770111,壳牌 黄壳 磁护10W-40 4L/金嘉护 磁护10W-40 4L,,
BSRT03691,车之翼眉山北苑店,四川省,眉山市,东坡区,南北干道东坡湖广场旁车之翼,13890335939,美孚 速霸1000 4L/嘉实多 金嘉护 5W-40,,
BSRT03694,车之翼南部幸福大道店,四川省,南充市,南部县,蜀北办事处新欣街,15908270568,嘉实多 极护 0W-40 4L/壳牌 极护 0W-40 4L,,
BSRT22178,车之翼内江平安路店,四川省,内江市,东兴区,平安路608号,15196608005,美孚 速霸1000 5W-40 4L,,
BSRT03682,车之翼内江旱桥店,四川省,内江市,市中区,玉溪路3号（信源停车场内）,18989106016,壳牌 黄壳 5W-40 4L/嘉实多 金嘉护 5W-40 4L,,
BSRT03686,车之翼遂宁明月路店,四川省,遂宁市,船山区,明月路288号（车之翼）,13882588062,壳牌 黄壳 5W-40 4L/壳牌 蓝壳 5W-40 4L/嘉实多 金嘉护 5W-40 4L/嘉实多 磁护 5W-40 4L,,
BSRT03683,车之翼自贡马吃水店,四川省,自贡市,大安区,马吃水路中川大厦底楼,13909003230,壳牌 X5 10W-40 4L,,
BSRT22390,车之翼乐山广场店,四川省,乐山市,市中区,嘉兴路54号、56号、58号,18990678458,嘉实多 金嘉护 10W-40 4L,,
BSRT20080,车之翼乐山五通桥店,四川省,乐山市,五通桥区,杨柳镇杨柳湾,18990678458,壳牌 黄壳 5W-40 4L,,
BSRT11092,车之翼乐山嘉州新城店,四川省,乐山市,市中区,肖坝路866号满庭芳三期,13981382812,壳牌 X51 0W-40 4L,,
BSRT03695,车之翼乐山白燕路店,四川省,乐山市,市中区,"白燕路中段399号 ""快乐家园""联合汽贸对面",13981382812,"嘉实多 金嘉护 0W-40 4L/嘉实多 磁护 0W-40 4L/嘉实多 极护 0W-40 4L/壳牌 黄壳 0W-40 4L/壳牌 灰壳 0W-40 4L/美孚 金美孚1号 0W-40 4L
嘉实多 金嘉护 5W-50 4L/嘉实多 磁护 5W-50 4L/嘉实多 极护 5W-50 4L/壳牌 黄壳 5W-50 4L/壳牌 灰壳 5W-50 4L/美孚 金美孚1号 5W-50 4L",,
BSRT03797,车之翼四川犍为凤凰路店,四川省,乐山市,犍为县,凤凰路店297号,13990662168,嘉实多 磁护 5W-40 4L,,
BSRT22389,车之翼峨眉山红星路店,四川省,乐山市,峨眉山市,胜利镇红星村,18990678458,壳牌 黄壳 10W-40 4L/壳牌 黄壳 5W-40 4L,,
BSRT05872,车之翼天津泰达店,天津市,天津市,滨海新区,经济技术开发区黄海路98号第四杰作A座2门,18622216767,嘉实多 金嘉护 10W40 4L/嘉实多 磁护 10W40 4L,55,
BSRT09457,车之翼天津宾水西道店,天津市,天津市,南开区,宾水西道水上温泉花园底商206-208,15202232790,嘉实多 金嘉护 10W40 4L/嘉实多 磁护 10W40 4L,,
BSRT08266,车之翼天津中北路店,天津市,天津市,西青区,中北镇中北大道1号,15122662802,嘉实多 金嘉护 10W40 4L/嘉实多 磁护 10W40 4L,,
BSRT21784,车之翼天津广开二马路店,天津市,天津市,南开区,广开新街5号、7号,18622282861,嘉实多 5W-40 4L,,
BSRT05951,车之翼滨海新区汉沽伯祝轮胎销售中心店,天津市,天津市,汉沽区,火车站西建筑材料厂,13920190373,嘉实多 5W-40 4L,,
BSRT10015,车之翼天津泉兴路店,天津市,天津市,武清区,泉兴路32号,18920916555,美孚 5W-40 4L,,
BSRT10335,车之翼天津市红桥区佳佳宇四轮定位检测维修部,天津市,天津市,红桥区,纪念馆路118、120号,13752618789,壳牌 5W-40 4L,,
BSRT05875,车之翼天津静海津德路店,天津市,天津市,静海县,津徳路火车站立交桥北100米,13821546466,嘉实多 5W-40 4L,,
BSRT05871,车之翼天津红升店,天津市,天津市,河东区,卫国道95号翰林苑1号楼底商,13920081155,嘉实多 5W-40 4L,,
BSRT05948,车之翼天津创业路店,天津市,天津市,滨海新区,大港油田二号院创业路总医院东50米,13920762500,嘉实多 5W-40/4 4L,,
BSRT05952,车之翼天津市轮胎馆西青道店,天津市,天津市,西青区,杨柳青镇西青道青吉里底商349号,13002211996,嘉实多 5W-40 4L,,
BSRT12620,车之翼新疆喀什昆仑大道店,新疆维吾尔自治区,喀什地区,喀什市,昆仑大道国际汽车城9号楼,13899143121,嘉实多 磁护 10W-40 4L,27,
BSRT12621,车之翼新疆阿勒泰市民族路店,新疆维吾尔自治区,阿勒泰地区,阿勒泰市,民族路江南花园侧门车之翼轮胎店,13369065000,嘉实多 磁护 15W-50 4L,,
BSRT04384,车之翼乌鲁木齐新医路店,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,新医路794号,18999837019,嘉实多 磁护 5W-40 4L,,
BSRT04397,车之翼乌鲁木齐驰通腾达商贸有限公司,新疆维吾尔自治区,乌鲁木齐市,新市区,阿勒泰路1769号城西办公楼1层,13999995595,美孚 速霸 5W-40 4L,,
BSRT04401,车之翼阿克苏乌喀路店,新疆维吾尔自治区,阿克苏地区,阿克苏市,乌喀路东风小区2号楼5号底商,15599711777,嘉实多 磁护 5W-40 4L,,
BSRT22177,车之翼北屯金街店,新疆维吾尔自治区,北屯市,北屯市,多尔布尔津街1288-1车之翼,13579190638,嘉实多 磁护 5W-40 4L,,
BSRT22176,车之翼博乐北京店,新疆维吾尔自治区,博尔塔拉蒙古自治州,博乐市,八一时代广场南路车之翼,13345495858,嘉实多 磁护 10W-40 4L,,
,车之翼新疆奎屯库尔勒西路店,新疆维吾尔自治区,伊犁哈萨克自治州,奎屯市,库尔勒西路20号,18999718978,嘉实多 磁护 5W-30 4L,,
,车之翼新疆北屯西北路店,新疆维吾尔自治区,阿勒泰地区,阿勒泰市,北屯镇西北路镇中学左侧,13579190638,嘉实多 磁护 5W-30 4L,,
BSRT12071,车之翼昆明正半球商贸有限公司,云南省,昆明市,官渡区,昆洛公路709号东聚南疆汽车服务广场3栋A1A2号,13078780838,嘉实多 金嘉护 4L,6,
BSRT04164,车之翼昆明万华路店,云南省,昆明市,盘龙区,万华路金利园小区910栋901-902号商铺,13808790700,壳牌 黄壳 4L,,
BSRT03022,车之翼杭州丰潭路店,浙江省,杭州市,西湖区,丰潭路258号-2,18958061705,美孚 速霸1000 4L,66,
BSRT03029,车之翼金华丹溪店,浙江省,杭州市,下城区,九和路11号,13634109228,嘉实多 极护 10W-40 4L,,
BSRT03030,车之翼永康丽州北路店,浙江省,杭州市,下城区,九和路11号,13634109228,嘉实多 极护 10W-40 4L,,
BSRT03026,车之翼金华环城店,浙江省,杭州市,下城区,九和路11号,13634109228,嘉实多 极护 10W-40 4L,,
BSRT22597,车之翼衢州府东街店,浙江省,杭州市,下城区,九和路11号,13634109228,嘉实多 极护 10W-40 4L,,
BSRT08375,车之翼嘉兴豪宇汽车一站式服务有限公司,浙江省,嘉兴市,南湖区,南溪西路939号,13515738777,昆仑 天润KR8 4L,,
BSRT22376,车之翼海宁市德普轮胎有限公司,浙江省,嘉兴市,海宁市,硖石街道海州东路464号,13906738657,美孚 速霸1000 4L,,
BSRT22598,车之翼嘉兴东方路店,浙江省,嘉兴市,秀洲区,王江泾镇诚恒。世嘉花园18幢94.96.98号,13867369502,昆仑 天润KR8 4L,,
BSRT21789,车之翼宁波俞范东路店,浙江省,宁波市,镇海区,蛟川街道俞范村俞范菜场东面综合楼一楼五、六、七、八号,13805862518,嘉实多 极护 10W-40 4L,,
BSRT02873,车之翼北仑明州路店,浙江省,宁波市,北仑区,明州路385-391号,13806631002,嘉实多 极护 10W-40 4L,,
BSRT10148,车之翼余姚金型路店,浙江省,宁波市,余姚市,金型路394-402号（模具城）,15968017160,嘉实多 极护 10W-40 4L,,
BSRT09066,车之翼宁波四明东路店,浙江省,宁波市,鄞州区,四明东路668号,13736002296,嘉实多 极护 10W-40 4L,,
BSRT08640,车之翼宁波车之翼梅墟路店,浙江省,宁波市,高新区,梅墟路与凌云路交叉口,13336667180,嘉实多 极护 10W-40 4L,,
BSRT03032,车之翼绍兴至尊龙店,浙江省,绍兴市,柯桥区,稽山路135号宇华仓库32号,13567536539,嘉实多 金嘉护 10W-40 4L,,
BSRT22175,车之翼绍兴钱清店,浙江省,绍兴市,柯桥区,钱清镇东江村,13867563801,嘉实多 金嘉护 10W-40 4L,,
BSRT20466,车之翼绍兴高桥店,浙江省,绍兴市,绍兴市,柯桥区柯桥街道鉴湖路1042号日月潭花园（明秀苑）4幢106-107号,13989554812,嘉实多 极护 10W-40 4L,,
BSRT20153,车之翼绍兴鉴湖路店,浙江省,绍兴市,绍兴市,柯桥区柯桥街道鉴湖路1042号日月潭花园（明秀苑）4幢106-107号,13989554812,嘉实多 极护 10W-40 4L,,
BSRT20128,车之翼绍兴兴越路店,浙江省,绍兴市,柯桥区,柯桥街道兴越路裕民小区27幢4室,13989554812,嘉实多 极护 10W-40 4L,,
BSRT23513,车之翼绍兴漓渚新街店,浙江省,绍兴市,柯桥区,稽山路135号宇华仓库32号,15355517996,嘉实多 极护 10W-40 4L,,
BSRT21790,车之翼台州路桥公园路店,浙江省,台州市,路桥区,路南街道公园路888号,18605861111,嘉实多 极护 10W-40 4L,,
BSRT03033,车之翼温州永强店,浙江省,温州市,龙湾区,永强大道机床市场2-5号,13867790388,嘉实多 极护 10W-40 4L,,
BSRT03023,车之翼温州宏源店,浙江省,温州市,鹿城区,宏源日月星园E幢108-110号,13906647056,嘉实多 极护 10W-40 4L,,
BSRT03964,车之翼重庆石新路店,重庆市,重庆市,高新区,石新路67附13-18号 柳背桥小区（巴山加油站对面）,13368155622,嘉实多 金嘉护 4L,36,
BSRT03966,车之翼重庆江津南干道店,重庆市,重庆市,江津区,水木年华湖上41幢门面车之翼店,13996045768,嘉实多 金嘉护 4L,,
BSRT03969,车之翼永川人民大道店,重庆市,重庆市,永川区,人民大道339号,13509498090,壳牌 黄壳 4L,,
BSRT03970,车之翼黔江河滨南路店,重庆市,重庆市,黔江区,河滨南路东段988号,13896869968,道达尔-5000 4L,,
BSRT09178,车之翼钢梁迎宾路店,重庆市,重庆市,铜梁县,巴川镇街道办事处迎宾路202号,13883895558,壳牌 黄壳 10W-40 4L/嘉实多 金嘉护 10W-40 4L,,
BSRT08263,车之翼重庆渝北区宝石路店,重庆市,重庆市,渝北区,人和春兰三路重庆市林木种苗站轮胎仓库,18290512288,美孚 全系列,,
BSRT13801,车之翼兰州白银路店,甘肃省,兰州市,城关区,白银路上钩191号,18919803931,壳牌 HX7 5W-40 4L,9,
BSRT21008,车之翼兰州雁兴路店,甘肃省,兰州市,城关区,雁兴路3188号,18093114376,美孚 速霸2000 5W-40 4L,,
BSRT20206,车之翼武威西关新建路店,甘肃省,武威市,凉州区,西关新建路,18009498906,法国摩特机油 10W-40 4L,,